duration,protocol_type,service,flag,src_bytes,dst_bytes,count,srv_count,serror_rate,same_srv_rate,num_failed_logins,logged_in,label,is_attack
41.86,tcp,smtp,RSTR,516,712,5,5,0.0,0.751,0,1,normal,0
52.88,tcp,ssh,SF,1205,1480,4,6,0.074,0.903,0,1,normal,0
130.83,tcp,telnet,SF,416,1011,4,8,0.0,1.0,0,1,normal,0
0.0,tcp,http,S0,71,0,289,405,0.815,0.992,0,0,dos,1
0.47,tcp,other,S0,60,8,269,215,0.927,0.846,0,0,dos,1
21.48,tcp,other,S0,19,1514,5,2,0.0,0.908,0,1,normal,0
16.03,udp,other,S0,266,140,3,7,0.223,0.866,4,0,r2l,1
0.0,udp,smtp,SF,96,899,4,8,0.086,0.831,0,1,normal,0
77.3,tcp,ssh,RSTO,741,1745,8,4,0.0,1.0,0,1,normal,0
49.85,tcp,other,SF,0,766,7,6,0.056,0.903,0,1,normal,0
0.0,tcp,telnet,S0,20,4,83,19,0.951,0.374,0,0,probe,1
62.69,udp,ftp,SF,719,1457,8,3,0.012,0.85,0,1,normal,0
0.0,udp,dns,SF,873,1277,2,1,0.064,0.872,0,1,normal,0
91.99,udp,ssh,SF,92,914,8,1,0.0,0.819,0,1,normal,0
183.54,tcp,ssh,SF,1056,625,1,1,0.08,0.778,0,1,u2r,1
0.0,tcp,smtp,SF,0,1,28,4,0.289,0.061,0,0,probe,1
3.42,tcp,telnet,REJ,99,0,301,135,1.0,0.971,0,0,dos,1
1.83,tcp,dns,REJ,3,1,21,7,0.615,0.136,0,0,probe,1
1.63,tcp,other,REJ,33,0,64,14,0.571,0.277,0,0,probe,1
76.72,tcp,smtp,SF,0,928,1,3,0.012,0.961,0,1,normal,0
35.93,icmp,pop3,SF,246,2485,8,5,0.026,0.741,0,1,normal,0
1.17,tcp,pop3,S0,0,0,192,259,1.0,0.901,0,0,dos,1
48.22,tcp,pop3,SF,977,1001,2,9,0.0,0.862,0,1,normal,0
29.16,udp,dns,SF,972,741,4,3,0.016,0.894,0,1,normal,0
31.7,tcp,pop3,SF,628,220,5,6,0.023,1.0,0,1,normal,0
6.49,tcp,ssh,S0,37,0,322,234,0.908,0.996,0,0,dos,1
93.08,tcp,http,SF,813,1125,7,4,0.0,1.0,0,1,normal,0
0.0,tcp,http,SF,2,2,71,19,0.569,0.233,0,0,probe,1
138.75,udp,other,SF,956,856,5,2,0.019,0.79,0,1,normal,0
100.05,tcp,ssh,SF,437,1156,9,5,0.0,1.0,0,1,normal,0
0.0,tcp,ssh,S0,53,5,493,312,0.863,0.868,0,0,dos,1
49.04,tcp,http,SF,395,387,8,6,0.041,0.831,0,1,normal,0
59.32,icmp,dns,SF,479,376,7,8,0.045,0.852,0,1,normal,0
30.69,udp,pop3,REJ,227,752,4,8,0.069,0.749,0,1,normal,0
0.0,tcp,telnet,S0,37,0,296,364,1.0,0.929,0,0,dos,1
60.62,tcp,other,SF,1043,1247,5,9,0.018,1.0,0,1,normal,0
60.4,tcp,smtp,SF,532,1179,5,4,0.0,1.0,0,1,normal,0
4.29,udp,ssh,S0,65,1,435,270,0.791,0.936,0,0,dos,1
0.59,icmp,telnet,SF,87,521,6,8,0.207,0.457,4,0,r2l,1
60.37,udp,dns,SF,292,304,3,4,0.0,0.834,0,1,normal,0
35.3,tcp,dns,S0,601,2269,3,4,0.063,0.97,0,1,normal,0
142.08,udp,pop3,SF,492,1141,6,2,0.096,0.841,0,1,normal,0
89.31,icmp,dns,SF,435,789,2,6,0.0,1.0,0,1,normal,0
47.03,udp,dns,SF,359,1218,5,4,0.039,0.965,0,1,normal,0
77.78,tcp,telnet,SF,674,1481,6,9,0.0,1.0,0,1,normal,0
96.74,tcp,dns,SF,282,1482,8,7,0.026,0.966,0,1,normal,0
40.4,tcp,dns,REJ,240,449,1,8,0.058,1.0,0,1,normal,0
49.93,tcp,pop3,SF,709,696,6,3,0.0,0.905,0,1,normal,0
61.38,tcp,dns,SF,446,503,7,3,0.022,1.0,0,1,normal,0
136.94,udp,ssh,SF,478,1247,4,8,0.014,0.861,0,1,normal,0
1.84,tcp,telnet,S0,55,0,369,418,0.854,0.973,0,0,dos,1
2.59,tcp,ftp,S0,49,1,100,200,0.878,0.931,0,0,dos,1
1.27,udp,ftp,RSTR,16,0,430,497,0.882,0.892,0,0,dos,1
42.09,tcp,telnet,SF,203,1344,4,9,0.071,0.762,0,1,normal,0
84.85,tcp,ftp,SF,1026,1641,1,7,0.025,0.871,0,1,normal,0
0.0,tcp,dns,REJ,21,0,84,3,0.69,0.367,0,0,probe,1
55.93,tcp,dns,REJ,572,29,1,9,0.028,0.911,0,1,normal,0
0.0,tcp,telnet,SF,471,1844,9,9,0.098,0.774,0,1,normal,0
73.12,tcp,dns,SF,413,966,4,1,0.03,0.902,0,1,normal,0
60.59,tcp,smtp,SF,341,408,5,7,0.117,0.965,0,1,normal,0
26.08,tcp,other,SF,136,563,3,2,0.18,0.431,3,1,r2l,1
0.0,tcp,pop3,SF,89,432,8,4,0.0,1.0,0,1,normal,0
2.09,udp,other,SF,5,1,50,16,0.845,0.255,0,0,probe,1
65.62,tcp,pop3,SF,1057,1312,2,5,0.062,0.804,0,1,normal,0
165.33,udp,other,SF,0,1139,6,1,0.01,0.909,0,1,normal,0
30.5,icmp,smtp,SF,1106,848,9,4,0.002,0.833,0,1,normal,0
79.34,udp,ssh,SF,625,383,5,5,0.0,0.964,0,1,normal,0
22.54,tcp,smtp,SF,211,572,7,8,0.023,0.79,0,1,normal,0
4.26,udp,smtp,SF,693,1496,2,2,0.108,0.884,0,1,normal,0
3.01,tcp,other,SF,168,180,12,8,0.19,0.821,1,1,r2l,1
0.0,tcp,pop3,SF,610,0,7,7,0.033,0.855,0,1,normal,0
1.6,tcp,http,REJ,26,0,61,16,0.603,0.084,0,0,probe,1
0.92,tcp,telnet,S0,18,0,243,419,0.774,0.925,0,0,dos,1
30.24,tcp,ssh,SF,418,576,8,8,0.009,0.869,0,1,normal,0
2.36,tcp,other,S0,30,0,214,329,0.805,0.964,0,0,dos,1
119.17,tcp,pop3,SF,575,1635,3,8,0.003,0.934,0,1,normal,0
12.49,tcp,ssh,SF,120,1987,1,4,0.003,0.927,0,1,normal,0
1.77,tcp,smtp,REJ,14,0,245,248,0.865,0.905,0,0,dos,1
4.54,udp,dns,REJ,59,1,254,179,0.945,0.964,0,0,dos,1
0.0,tcp,http,SF,1126,1953,5,8,0.081,0.831,0,1,normal,0
139.06,tcp,http,S0,67,1041,8,6,0.0,1.0,0,1,normal,0
95.54,tcp,http,SF,192,830,5,8,0.038,0.972,0,1,normal,0
0.0,icmp,dns,RSTR,61,8,420,197,0.968,1.0,0,0,dos,1
54.01,tcp,smtp,SF,629,558,8,9,0.094,0.945,0,1,normal,0
96.37,udp,smtp,S0,797,443,6,9,0.04,0.811,0,1,normal,0
88.01,tcp,http,SF,834,2046,7,2,0.089,1.0,0,1,normal,0
149.29,tcp,smtp,REJ,518,1737,4,5,0.0,0.859,0,1,normal,0
68.5,tcp,other,SF,821,343,6,2,0.137,0.971,0,1,normal,0
4.66,tcp,dns,S0,72,0,383,394,0.963,0.968,0,0,dos,1
75.3,tcp,smtp,SF,29,1812,2,5,0.07,0.935,0,1,normal,0
55.55,tcp,smtp,SF,414,1157,2,6,0.052,0.812,0,1,normal,0
58.3,tcp,ftp,SF,611,933,2,6,0.033,0.811,0,1,normal,0
2.31,udp,smtp,S0,62,0,467,497,0.783,0.953,0,0,dos,1
0.0,tcp,other,REJ,84,8,241,228,1.0,0.941,0,0,dos,1
68.82,tcp,pop3,SF,722,471,3,4,0.017,0.747,0,1,normal,0
41.44,tcp,ftp,SF,827,162,5,3,0.016,0.782,0,1,normal,0
59.92,tcp,telnet,SF,850,1557,2,2,0.044,1.0,0,1,normal,0
126.07,tcp,ftp,SF,50,35,8,5,0.122,1.0,0,1,normal,0
0.0,tcp,ftp,S0,0,7,377,266,0.967,0.946,0,0,dos,1
68.61,tcp,ssh,SF,439,1855,9,6,0.0,1.0,0,1,normal,0
79.58,tcp,dns,SF,251,1584,1,1,0.068,0.791,0,1,normal,0
0.0,tcp,other,S0,24,0,63,19,0.301,0.188,0,0,probe,1
68.11,udp,http,SF,587,716,4,8,0.011,1.0,0,1,normal,0
65.04,udp,telnet,S0,79,1565,6,9,0.102,0.97,0,1,normal,0
46.27,tcp,other,SF,416,1467,9,9,0.124,0.88,0,1,normal,0
0.0,tcp,telnet,SF,0,751,2,8,0.019,0.984,0,1,normal,0
26.9,tcp,smtp,SF,926,81,4,3,0.059,0.898,0,1,normal,0
39.33,tcp,pop3,SF,917,1001,2,6,0.021,0.885,0,1,normal,0
55.83,tcp,telnet,SF,502,1195,5,4,0.025,1.0,0,1,normal,0
154.24,tcp,dns,SF,514,1575,4,2,0.0,0.946,0,1,normal,0
40.61,tcp,dns,SF,263,837,9,2,0.0,1.0,0,1,normal,0
79.73,tcp,telnet,SF,665,1369,1,5,0.051,1.0,0,1,normal,0
38.51,udp,smtp,SF,597,153,8,1,0.085,0.951,0,1,normal,0
76.75,tcp,dns,REJ,408,520,7,1,0.079,0.807,0,1,normal,0
41.86,tcp,ftp,SF,1039,530,8,1,0.112,0.735,0,1,normal,0
0.0,udp,dns,S0,89,4,355,200,0.888,0.971,0,0,dos,1
0.0,tcp,ftp,REJ,64,3,421,489,0.88,0.956,0,0,dos,1
61.49,udp,smtp,SF,983,1221,7,2,0.07,0.977,0,1,normal,0
0.0,tcp,other,S0,882,1263,8,9,0.116,1.0,0,1,normal,0
14.53,tcp,http,SF,272,0,3,6,0.08,0.968,0,1,normal,0
16.99,tcp,pop3,SF,450,413,9,5,0.01,0.706,0,1,normal,0
49.9,udp,dns,SF,392,440,9,5,0.013,1.0,0,1,normal,0
31.42,udp,smtp,SF,264,986,2,7,0.038,0.817,0,1,normal,0
18.41,tcp,telnet,SF,1214,1357,8,2,0.0,0.789,0,1,normal,0
49.58,tcp,smtp,SF,340,1563,5,3,0.03,0.863,0,1,normal,0
32.91,udp,http,SF,1062,1667,7,9,0.0,1.0,0,1,normal,0
35.18,tcp,pop3,SF,60,1520,6,9,0.0,1.0,0,1,normal,0
4.56,tcp,pop3,S0,46,0,226,253,0.94,0.931,0,0,dos,1
85.43,tcp,pop3,RSTR,826,1110,6,8,0.0,1.0,0,1,normal,0
1.73,tcp,other,S0,6,4,32,15,0.81,0.124,0,0,probe,1
0.0,tcp,http,SF,594,542,7,2,0.012,0.83,0,1,normal,0
0.0,udp,dns,S0,57,0,469,249,0.884,0.98,0,0,dos,1
2.82,tcp,ssh,S0,20,0,90,14,0.503,0.0,0,0,probe,1
52.41,tcp,pop3,SF,225,433,2,2,0.193,0.515,4,0,r2l,1
0.64,udp,dns,S0,115,0,102,502,0.94,0.961,0,0,dos,1
3.15,tcp,ssh,S0,35,5,510,332,0.98,0.827,0,0,dos,1
36.25,tcp,ssh,RSTR,849,1354,1,2,0.0,0.857,0,1,normal,0
0.0,tcp,smtp,REJ,6,0,172,305,0.85,0.903,0,0,dos,1
17.11,tcp,ftp,SF,481,87,3,6,0.039,0.989,0,1,normal,0
0.0,udp,http,SF,352,1661,2,1,0.105,0.93,0,1,normal,0
11.66,udp,other,SF,357,755,5,2,0.04,1.0,0,1,normal,0
3.03,tcp,telnet,RSTR,60,0,159,389,0.965,0.957,0,0,dos,1
18.93,tcp,ftp,SF,591,1257,6,1,0.083,1.0,0,1,normal,0
41.64,tcp,pop3,SF,556,1682,6,5,0.032,0.762,0,1,normal,0
85.13,tcp,ftp,SF,902,511,4,6,0.0,1.0,0,1,normal,0
156.3,tcp,other,SF,69,1328,3,7,0.027,0.984,0,1,normal,0
35.32,tcp,ssh,SF,416,352,5,3,0.042,0.893,0,1,normal,0
90.87,tcp,ftp,SF,924,1223,9,6,0.01,1.0,0,1,normal,0
38.38,tcp,telnet,SF,186,877,2,3,0.058,0.823,0,1,normal,0
27.65,icmp,other,SF,449,1668,5,8,0.0,0.759,0,1,normal,0
102.85,tcp,telnet,SF,445,1228,1,3,0.0,0.652,0,1,normal,0
124.22,icmp,ssh,SF,421,425,9,4,0.05,0.647,0,1,normal,0
0.0,tcp,ftp,SF,839,881,1,7,0.045,0.909,0,1,normal,0
66.07,tcp,http,SF,717,1205,6,3,0.0,0.82,0,1,normal,0
20.81,tcp,telnet,S0,381,1772,9,3,0.0,0.906,0,1,normal,0
68.98,tcp,telnet,SF,458,284,9,6,0.006,0.969,0,1,normal,0
4.47,udp,dns,SF,14,4,27,6,0.621,0.099,0,0,probe,1
4.24,tcp,telnet,SF,21,0,45,13,0.785,0.169,0,0,probe,1
23.13,tcp,telnet,SF,876,1528,5,3,0.013,0.839,0,1,normal,0
0.0,tcp,ftp,SF,732,867,9,6,0.047,0.695,0,1,normal,0
72.77,tcp,pop3,S0,117,1223,5,8,0.1,0.977,0,1,normal,0
4.64,udp,other,S0,133,2,338,349,1.0,0.941,0,0,dos,1
16.42,udp,ssh,SF,611,0,1,5,0.002,0.77,0,1,normal,0
0.83,tcp,smtp,S0,51,3,313,336,0.801,1.0,0,0,dos,1
35.76,tcp,telnet,SF,413,1124,7,4,0.05,1.0,0,1,normal,0
0.0,tcp,other,SF,446,1872,5,7,0.031,1.0,0,1,normal,0
0.0,tcp,ssh,SF,0,1058,2,1,0.03,0.851,0,1,normal,0
3.42,tcp,ssh,RSTR,77,0,219,395,0.968,0.917,0,0,dos,1
20.17,tcp,other,SF,564,862,5,5,0.0,0.87,0,1,normal,0
45.95,tcp,smtp,SF,164,745,1,6,0.021,0.906,0,1,normal,0
0.0,tcp,pop3,RSTR,22,0,500,490,0.858,0.933,0,0,dos,1
12.86,tcp,pop3,SF,583,958,5,7,0.023,0.979,0,1,normal,0
119.78,udp,ssh,SF,513,0,1,4,0.022,0.874,0,1,normal,0
115.9,tcp,http,SF,324,1579,4,2,0.054,0.89,0,1,normal,0
0.97,udp,other,S0,43,0,109,497,1.0,0.898,0,0,dos,1
63.62,tcp,telnet,SF,445,1299,6,2,0.141,0.847,0,1,normal,0
6.34,udp,http,SF,27,0,63,19,0.504,0.041,0,0,probe,1
96.8,tcp,dns,SF,385,364,9,4,0.023,0.945,0,1,normal,0
12.45,tcp,dns,S0,298,278,5,5,0.135,0.712,1,1,r2l,1
0.96,tcp,pop3,REJ,34,1,374,501,1.0,0.884,0,0,dos,1
53.21,tcp,other,SF,428,668,9,8,0.0,1.0,0,1,normal,0
3.1,tcp,smtp,S0,32,2,195,133,0.88,1.0,0,0,dos,1
1.24,udp,smtp,S0,19,9,229,415,0.918,0.985,0,0,dos,1
6.55,tcp,pop3,SF,39,0,23,9,0.43,0.117,0,0,probe,1
33.61,tcp,telnet,S0,428,1213,9,6,0.078,0.86,0,1,normal,0
