duration,src_bytes,dst_bytes,count,srv_count,serror_rate,same_srv_rate,num_failed_logins,logged_in,protocol_type_enc,service_enc,flag_enc
0.0,104,0,484,335,0.974,0.995,0,0,1,5,2
76.28,243,1094,9,9,0.017,1.0,0,1,2,4,0
0.0,1149,1449,9,9,0.076,0.763,0,1,1,1,2
0.56,131,0,203,169,0.801,0.974,0,0,1,1,3
62.56,636,427,9,3,0.092,0.763,0,1,1,5,4
10.2,881,2052,5,1,0.0,0.932,0,1,2,1,4
10.53,245,1423,6,8,0.0,0.825,0,1,2,2,4
31.23,436,1505,8,8,0.072,0.765,0,1,2,3,4
96.8,385,364,9,4,0.023,0.945,0,1,1,0,4
92.4,654,1520,8,4,0.0,1.0,0,1,1,2,4
69.62,315,856,1,2,0.008,1.0,0,1,1,5,4
0.0,888,925,5,5,0.011,0.889,0,1,1,6,4
1.19,54,0,78,6,0.576,0.342,0,0,1,1,3
0.0,923,1131,3,6,0.0,0.941,0,1,2,6,4
0.0,393,1518,1,8,0.033,0.88,0,1,1,4,4
4.07,11,0,21,17,0.921,0.223,0,0,2,2,0
0.0,280,579,6,3,0.0,1.0,0,1,1,2,4
43.71,580,915,2,8,0.048,0.919,0,1,1,7,4
219.31,935,0,4,3,0.0,0.859,1,1,2,6,4
24.46,675,1081,4,1,0.051,0.878,0,1,1,6,4
34.54,648,1923,6,7,0.0,0.856,0,1,2,1,4
59.81,748,644,3,3,0.125,1.0,0,1,1,7,4
0.0,57,4,52,11,0.811,0.334,0,0,1,1,3
50.48,390,440,7,6,0.057,0.82,0,1,2,2,4
37.44,208,766,14,1,0.235,0.84,3,1,1,7,4
46.76,515,1938,7,9,0.0,1.0,0,1,1,1,4
78.58,2086,103,1,2,0.111,0.743,1,1,1,1,4
73.34,866,845,1,9,0.001,0.923,0,1,2,6,4
10.76,34,630,9,4,0.0,0.641,3,1,2,0,4
0.0,60,0,426,187,0.789,0.914,0,0,1,2,3
49.93,709,696,6,3,0.0,0.905,0,1,1,4,4
0.0,0,0,9,5,0.0,1.0,0,1,1,4,4
24.94,524,1279,8,4,0.0,0.992,0,1,1,6,4
46.69,760,1879,2,5,0.0,0.865,0,1,1,6,4
0.0,44,0,90,6,0.433,0.384,0,0,2,1,0
4.32,402,982,7,7,0.011,0.892,0,1,1,1,4
0.66,53,0,139,283,0.852,1.0,0,0,0,3,3
37.69,263,1213,1,2,0.065,0.872,0,1,2,4,4
57.36,437,670,8,7,0.0,0.787,0,1,2,0,2
1.9,32,0,94,2,0.633,0.312,0,0,1,2,0
0.0,695,745,8,5,0.0,0.826,0,1,1,7,4
0.0,1471,0,7,3,0.084,0.798,0,1,1,2,4
0.52,52,1,185,264,0.761,0.785,0,0,1,6,2
52.43,780,1954,4,7,0.0,1.0,0,1,2,0,4
19.22,1020,1528,5,1,0.009,0.832,0,1,1,2,3
0.0,25,3,121,509,0.964,0.904,0,0,1,7,3
44.76,243,1090,6,9,0.048,1.0,0,1,1,0,4
2.3,4,5,250,496,0.982,1.0,0,0,2,5,2
31.33,1041,1177,4,6,0.065,0.863,0,1,2,4,4
33.08,247,733,7,8,0.0,0.965,0,1,1,6,4
15.07,0,913,6,2,0.031,0.904,0,1,1,3,3
16.34,291,672,6,5,0.085,0.795,0,1,1,6,4
93.7,499,1144,2,7,0.022,0.888,0,1,1,3,4
48.18,634,561,1,1,0.0,0.839,0,1,1,2,4
132.37,545,1881,8,3,0.0,0.889,0,1,1,0,4
9.5,471,1108,4,5,0.0,0.955,0,1,1,2,4
119.09,367,1622,2,7,0.009,0.857,0,1,1,3,4
20.7,241,782,7,1,0.031,0.777,0,1,2,3,4
57.15,445,836,7,7,0.0,0.899,0,1,0,7,4
6.12,869,1258,1,6,0.0,1.0,0,1,1,7,4
1.91,75,2,105,162,0.971,0.923,0,0,2,1,3
60.64,511,430,8,3,0.0,0.902,0,1,1,5,0
47.86,408,0,1,6,0.0,0.785,0,1,1,4,4
118.15,287,677,7,4,0.078,0.623,0,1,1,4,0
0.0,7,319,3,9,0.0,0.791,0,1,1,1,1
2.12,10,0,219,258,0.776,0.921,0,0,1,3,2
120.9,624,831,4,4,0.128,0.982,0,1,1,3,4
1.71,47,0,174,450,1.0,0.957,0,0,1,7,3
7.93,336,391,6,4,0.018,0.773,0,1,1,3,4
61.73,913,366,1,1,0.132,0.828,0,1,2,7,4
93.28,279,779,7,9,0.0,0.715,0,1,1,7,4
131.02,896,479,4,4,0.07,0.669,1,1,2,3,4
36.42,659,2394,8,7,0.034,0.986,0,1,1,6,2
60.6,670,594,8,5,0.0,0.976,0,1,1,6,0
3.0,69,1,136,369,0.928,0.901,0,0,2,6,2
20.0,268,0,1,3,0.06,0.796,0,1,1,2,3
65.83,450,1835,8,4,0.053,1.0,0,1,2,6,4
3.11,44,14,362,278,0.913,0.851,0,0,1,3,3
0.97,69,0,115,260,0.927,0.972,0,0,1,0,3
12.06,9,1229,4,9,0.005,0.852,0,1,1,4,4
0.21,73,0,465,224,1.0,0.968,0,0,2,1,3
2.03,31,0,366,479,0.874,0.857,0,0,1,7,3
4.39,3,0,55,13,0.206,0.466,0,0,1,4,3
0.59,47,6,410,371,0.81,0.922,0,0,1,1,3
49.18,235,0,8,8,0.092,0.842,0,1,2,4,1
29.7,742,630,2,5,0.0,0.946,0,1,2,7,4
65.14,409,0,9,6,0.0,0.875,0,1,1,7,4
0.0,46,0,452,489,0.997,0.969,0,0,1,2,3
3.07,11,0,39,9,0.186,0.128,0,0,1,7,3
0.0,62,0,180,242,1.0,0.986,0,0,1,6,3
67.17,345,1824,8,3,0.0,0.822,0,1,1,3,4
0.79,102,952,8,6,0.001,1.0,0,1,1,0,4
28.93,0,950,2,4,0.098,0.898,0,1,1,3,4
0.0,389,87,2,6,0.025,0.878,0,1,1,6,4
0.0,34,408,12,9,0.063,0.338,4,1,2,2,3
0.0,87,0,424,273,0.764,0.924,0,0,2,1,0
1.65,46,2,39,16,0.875,0.0,0,0,2,4,0
12.89,601,1229,8,2,0.0,0.842,0,1,1,2,4
6.24,500,0,7,9,0.0,0.888,0,1,1,0,4
2.64,60,0,364,278,0.933,1.0,0,0,2,3,0
7.21,462,1085,9,3,0.054,0.921,0,1,1,6,4
0.89,62,1,430,143,1.0,0.888,0,0,1,0,3
2.06,453,977,6,8,0.0,0.976,0,1,1,5,4
0.0,691,189,9,6,0.063,0.918,0,1,1,1,4
1.73,61,3,285,329,0.816,0.862,0,0,1,2,3
19.95,128,660,2,1,0.121,0.849,2,1,1,2,4
15.1,689,879,7,9,0.0,0.817,0,1,1,3,4
3.46,57,0,336,359,0.892,1.0,0,0,2,0,0
38.04,584,0,5,6,0.035,0.888,0,1,1,5,4
120.63,328,817,6,2,0.039,0.847,0,1,1,5,1
35.24,503,1040,3,3,0.0,0.977,0,1,1,4,4
34.42,858,2131,7,3,0.069,0.911,0,1,1,5,4
54.05,540,252,6,6,0.007,0.819,0,1,1,1,4
2.66,8,0,504,339,0.936,0.964,0,0,2,7,3
71.38,500,1320,5,5,0.042,0.924,0,1,1,6,4
9.05,134,237,7,1,0.194,0.657,1,1,2,5,4
3.13,68,3,199,182,1.0,0.878,0,0,1,6,2
53.09,0,477,5,9,0.033,0.682,0,1,1,5,4
0.0,50,0,268,152,0.803,0.886,0,0,1,1,3
104.48,735,496,1,6,0.004,1.0,0,1,1,5,0
103.17,878,1003,3,9,0.0,0.958,0,1,1,4,4
74.95,408,1393,3,6,0.018,0.996,0,1,1,7,4
1.45,31,0,61,10,0.838,0.171,0,0,1,7,4
0.0,18,3,373,371,0.931,0.997,0,0,2,5,2
30.0,90,327,9,7,0.057,0.875,0,1,0,7,3
2.69,75,0,444,317,1.0,0.922,0,0,1,6,0
2.36,28,0,57,6,0.5,0.049,0,0,2,0,0
69.8,771,954,7,6,0.019,0.866,0,1,1,1,4
62.75,594,1270,7,1,0.068,0.839,0,1,1,1,4
59.32,479,376,7,8,0.045,0.852,0,1,0,0,4
47.34,0,1182,9,6,0.036,0.929,0,1,1,6,4
0.39,78,4,485,488,0.863,0.865,0,0,1,2,0
66.29,443,840,6,1,0.051,0.869,0,1,1,5,4
48.8,375,2141,4,3,0.0,0.985,0,1,1,6,4
84.11,585,1868,4,9,0.017,0.865,0,1,1,7,4
1.01,289,388,3,8,0.0,0.353,3,1,1,6,4
3.53,93,0,113,229,0.946,0.896,0,0,1,2,3
27.52,477,752,6,8,0.0,0.827,0,1,1,0,4
103.5,688,190,5,1,0.065,0.921,0,1,1,2,4
0.0,557,699,4,7,0.005,0.791,0,1,1,7,4
88.91,196,1162,4,9,0.096,1.0,0,1,2,6,4
75.07,7,937,3,9,0.0,1.0,0,1,1,1,2
85.13,902,511,4,6,0.0,1.0,0,1,1,1,4
94.71,942,1649,7,7,0.042,0.853,0,1,1,2,3
4.28,17,0,71,13,0.884,0.239,0,0,1,3,3
0.0,298,1023,6,2,0.0,0.782,0,1,2,6,4
3.42,77,0,219,395,0.968,0.917,0,0,1,6,2
39.93,221,318,6,5,0.01,0.59,3,0,1,2,4
0.78,27,2,22,8,0.168,0.265,0,0,1,5,4
21.95,664,613,4,2,0.027,0.84,0,1,1,4,4
0.95,73,3,502,344,0.789,0.901,0,0,2,4,2
25.72,1049,54,7,5,0.031,0.935,0,1,1,4,4
68.76,798,1579,7,1,0.0,0.963,0,1,1,7,4
1.1,71,0,299,480,0.837,0.927,0,0,1,0,3
0.0,41,1,479,439,0.911,1.0,0,0,1,5,3
15.49,850,680,5,1,0.004,0.98,0,1,2,1,4
27.38,188,512,6,8,0.037,0.925,0,1,1,1,4
0.0,31,0,197,327,0.773,0.957,0,0,1,5,0
19.39,500,841,5,5,0.002,0.821,0,1,1,6,4
36.57,378,1574,7,2,0.053,1.0,0,1,1,6,4
130.19,718,247,5,7,0.0,0.931,0,1,1,4,4
53.53,794,0,4,4,0.002,0.902,0,1,1,2,4
114.64,392,1249,7,3,0.0,0.973,0,1,2,1,4
5.7,58,5,160,291,0.789,0.925,0,0,1,2,0
43.63,774,1878,6,3,0.017,0.964,0,1,2,3,4
3.51,744,484,1,6,0.072,0.838,0,1,2,4,4
97.21,0,879,4,4,0.0,0.915,0,1,1,7,4
98.83,451,634,8,5,0.053,0.88,0,1,1,2,4
40.1,634,163,6,2,0.063,0.905,0,1,2,3,4
67.24,382,1336,7,7,0.0,0.783,0,1,1,7,4
99.36,737,1697,6,9,0.058,0.909,0,1,1,4,4
66.2,676,1245,7,9,0.0,0.85,0,1,1,3,4
0.0,28,1,461,297,0.786,0.898,0,0,1,7,3
99.2,349,1118,1,2,0.0,1.0,0,1,2,7,4
89.3,735,1362,2,7,0.025,1.0,0,1,1,7,4
0.0,320,600,5,1,0.0,0.718,0,1,1,6,2
55.88,334,1990,2,2,0.018,0.893,0,1,1,5,4
23.27,387,0,8,3,0.0,1.0,0,1,1,3,4
0.0,82,2,281,278,0.932,0.93,0,0,1,2,3
2.44,103,1,320,293,0.998,1.0,0,0,1,5,3
0.0,68,0,340,158,1.0,0.913,0,0,1,6,2
34.49,504,1039,1,5,0.003,1.0,0,1,1,7,4
0.96,93,4,166,279,0.932,0.958,0,0,2,3,3
51.05,230,266,6,4,0.095,0.861,0,1,1,6,4
54.25,289,692,5,9,0.031,0.896,0,1,1,1,0
0.0,746,1326,1,2,0.07,0.782,0,1,1,1,4
4.46,17,0,37,4,0.554,0.197,0,0,1,5,3
62.42,583,1149,5,4,0.037,0.929,0,1,1,3,4
0.0,505,1278,9,8,0.08,0.848,0,1,1,5,4
89.91,395,1389,2,3,0.0,0.798,0,1,1,1,4
10.43,111,1298,3,9,0.077,1.0,0,1,2,5,4
66.13,572,1804,6,2,0.05,0.941,0,1,1,0,4
0.0,3,0,76,19,0.293,0.315,0,0,2,3,0
44.18,412,667,9,8,0.104,0.845,0,1,1,6,4
19.49,111,284,8,1,0.067,0.722,4,1,2,4,4
4.6,274,1026,5,1,0.0,0.813,0,1,1,1,4
76.64,329,1168,7,2,0.0,0.849,0,1,1,1,4
0.0,850,509,6,2,0.0,1.0,0,1,1,0,4
0.57,39,0,58,9,0.77,0.202,0,0,2,6,4
51.38,529,2010,3,2,0.063,0.946,0,1,0,0,4
6.08,29,1,64,2,0.36,0.183,0,0,2,3,0
0.0,47,0,28,13,0.233,0.163,0,0,1,7,4
52.96,290,703,4,5,0.0,0.788,0,1,1,1,4
0.56,4,0,21,6,0.82,0.0,0,0,1,0,0
26.39,68,281,8,7,0.019,0.786,0,1,1,7,2
3.55,21,1,77,8,0.472,0.126,0,0,1,4,3
2.16,6,8,240,430,0.772,0.872,0,0,1,0,3
108.25,29,368,4,4,0.0,0.807,0,1,1,6,4
0.0,933,1384,1,4,0.074,0.933,0,1,1,7,4
56.68,367,349,5,9,0.0,0.932,0,1,1,2,4
97.53,430,750,4,8,0.017,0.797,0,1,2,2,4
127.94,250,614,7,5,0.066,0.892,0,1,0,3,3
103.31,318,1870,8,4,0.031,0.859,0,1,1,4,4
0.0,162,745,9,7,0.037,1.0,0,1,1,6,4
0.0,46,0,225,162,0.877,1.0,0,0,1,4,3
23.72,270,167,11,7,0.0,0.806,4,0,2,2,4
2.75,317,178,13,7,0.107,0.457,2,0,1,0,4
0.12,42,9,283,174,0.676,0.977,0,0,1,2,2
95.28,607,992,3,8,0.042,1.0,0,1,1,6,4
0.0,758,552,2,5,0.0,0.99,0,1,0,3,4
0.0,413,798,3,9,0.047,1.0,0,1,1,5,4
7.89,35,5,94,12,0.489,0.321,0,0,1,1,0
0.0,45,0,445,151,0.804,0.976,0,0,1,5,3
90.85,451,1342,5,6,0.003,0.88,0,1,1,5,4
62.71,74,2065,3,4,0.0,1.0,0,1,1,1,4
3.84,56,0,126,265,0.85,0.881,0,0,1,7,3
0.0,20,3,98,5,0.266,0.0,0,0,1,5,3
23.51,631,1360,6,1,0.068,1.0,0,1,1,2,4
38.58,578,51,4,1,0.027,0.934,0,1,0,7,4
35.32,416,352,5,3,0.042,0.893,0,1,1,6,4
94.85,1302,1103,3,5,0.028,1.0,0,1,1,6,4
0.0,88,4,408,506,0.866,0.915,0,0,1,6,3
24.07,429,2000,5,7,0.003,0.828,0,1,0,2,0
100.67,655,1762,3,3,0.0,0.728,0,1,1,0,1
29.73,441,1367,7,8,0.024,0.88,0,1,1,6,4
0.0,798,1103,4,5,0.0,0.995,0,1,1,4,4
27.92,125,1773,7,5,0.035,0.765,0,1,1,5,4
25.61,368,1374,7,8,0.015,0.898,0,1,0,5,4
20.58,702,199,3,7,0.0,1.0,0,1,1,7,4
6.47,44,0,40,1,0.805,0.015,0,0,1,6,0
9.75,796,504,4,3,0.084,0.827,0,1,2,1,4
0.0,424,1321,9,6,0.016,0.951,0,1,2,1,4
130.83,416,1011,4,8,0.0,1.0,0,1,1,7,4
0.6,52,1,456,398,0.908,1.0,0,0,1,6,3
14.44,373,1276,5,2,0.083,0.843,0,1,1,0,4
21.46,569,1822,5,2,0.044,0.898,0,1,1,2,4
4.05,0,3,47,16,0.638,0.313,0,0,1,4,0
0.0,0,0,444,131,0.81,0.93,0,0,1,0,3
82.72,667,1139,7,9,0.0,0.952,0,1,1,7,4
81.62,1103,280,4,3,0.108,0.902,0,1,0,6,4
0.0,2,5,351,276,0.772,0.931,0,0,2,7,2
1.37,85,0,345,367,1.0,0.961,0,0,1,5,0
0.15,70,0,178,288,0.902,0.863,0,0,1,4,3
46.96,490,823,8,7,0.0,0.794,0,1,1,0,0
3.02,54,0,254,462,0.858,0.996,0,0,1,6,3
86.02,246,813,2,5,0.002,0.977,0,1,1,3,4
38.04,619,1532,3,4,0.05,0.913,0,1,1,4,4
1.3,0,2,505,387,0.994,1.0,0,0,1,7,0
3.09,1,3,282,287,0.812,0.907,0,0,0,6,3
0.0,435,1138,5,2,0.0,0.982,0,1,1,7,4
42.09,435,1629,6,3,0.021,0.972,0,1,1,7,4
44.04,534,1904,6,3,0.044,0.864,0,1,1,3,4
19.34,186,1066,6,9,0.019,0.9,0,1,1,2,4
62.0,667,1796,7,1,0.0,0.896,0,1,2,5,4
48.6,369,1479,5,6,0.097,0.982,0,1,1,3,4
46.75,398,187,6,3,0.118,0.913,0,1,1,4,4
62.71,579,1330,1,1,0.0,0.943,0,1,1,0,4
4.49,18,0,21,13,0.684,0.41,0,0,2,3,3
6.72,6,4,95,11,0.338,0.001,0,0,1,5,3
71.53,215,423,1,3,0.039,0.875,0,1,0,7,4
63.54,983,853,2,1,0.041,0.838,0,1,1,6,4
0.09,93,0,190,355,0.791,0.98,0,0,1,7,3
53.05,371,622,9,5,0.0,0.738,0,1,1,6,4
57.3,263,440,1,2,0.022,1.0,0,1,2,6,4
107.39,471,115,9,6,0.095,0.95,0,1,1,0,2
0.15,437,455,3,6,0.018,0.853,0,1,1,0,4
26.17,532,1077,5,8,0.085,0.894,0,1,1,3,4
1.48,5,0,72,3,0.225,0.239,0,0,2,3,3
67.6,214,777,7,5,0.0,0.939,0,1,1,7,4
37.65,459,730,5,5,0.047,0.945,0,1,1,7,4
0.5,48,0,412,366,0.769,0.984,0,0,1,6,0
58.64,464,941,3,8,0.028,1.0,0,1,1,5,4
6.82,20,0,56,6,0.38,0.547,0,0,1,4,3
0.0,24,0,63,19,0.301,0.188,0,0,1,3,3
45.52,734,2113,4,9,0.0,1.0,0,1,2,4,4
18.85,193,441,8,1,0.0,0.84,0,1,2,0,4
67.41,373,906,4,7,0.067,0.806,0,1,1,6,4
90.84,528,1074,1,3,0.045,0.856,0,1,2,4,1
115.52,452,489,4,5,0.072,1.0,0,1,0,5,2
3.89,92,0,201,230,0.859,0.922,0,0,1,2,3
0.0,646,1031,2,3,0.104,0.897,0,1,1,3,4
0.0,0,312,6,4,0.042,1.0,0,1,2,6,4
0.0,557,1742,2,2,0.029,0.788,0,1,2,6,2
0.0,38,2,110,449,0.895,0.929,0,0,2,1,3
66.25,86,814,9,8,0.0,1.0,0,1,1,7,4
4.95,616,827,9,1,0.003,1.0,0,1,1,4,4
47.58,438,404,1,2,0.0,0.796,0,1,1,1,4
96.63,429,597,3,9,0.039,0.826,0,1,1,4,0
92.32,492,1847,2,8,0.0,1.0,0,1,2,5,4
79.61,54,1159,5,5,0.0,0.826,0,1,1,0,4
0.0,512,1671,7,7,0.119,0.901,0,1,0,1,4
5.54,131,1502,8,5,0.0,1.0,0,1,1,1,4
6.01,95,15,370,333,1.0,0.952,0,0,1,6,3
117.71,884,0,5,3,0.065,0.875,0,1,1,6,4
4.13,647,739,1,6,0.018,0.979,0,1,1,6,4
46.82,455,310,6,8,0.0,0.914,0,1,1,0,3
89.83,231,778,3,1,0.07,1.0,0,1,1,2,4
0.0,135,0,6,5,0.162,0.502,1,0,0,4,4
110.88,892,1135,4,2,0.0,1.0,0,1,1,7,4
137.78,675,1349,2,5,0.0,1.0,0,1,1,3,4
0.0,178,146,1,6,0.016,0.972,0,1,1,3,4
122.26,709,629,7,5,0.076,0.912,0,1,1,0,4
4.95,277,219,4,6,0.0,0.942,0,1,1,5,4
0.03,83,0,491,223,0.889,0.962,0,0,1,7,0
141.47,988,758,2,2,0.034,0.512,0,1,1,1,4
0.0,75,0,258,439,1.0,0.943,0,0,1,4,3
2.65,14,0,28,1,0.399,0.343,0,0,1,0,3
11.21,0,331,6,8,0.047,0.733,0,1,1,4,1
41.34,522,180,5,7,0.108,0.763,0,1,1,5,4
40.69,746,1459,1,5,0.023,1.0,0,1,1,0,4
65.87,787,1652,5,3,0.043,0.973,0,1,2,7,1
22.83,45,1311,4,4,0.0,0.92,0,1,1,7,0
2.93,34,0,60,10,0.022,0.53,0,0,1,3,0
50.71,411,1530,1,6,0.0,0.839,0,1,1,3,4
33.4,183,1473,3,9,0.004,0.912,0,1,1,4,4
4.14,616,1412,6,3,0.051,0.917,0,1,1,3,4
0.0,19,0,270,326,0.718,0.889,0,0,1,6,3
114.51,810,723,1,8,0.052,0.89,0,1,1,6,4
0.82,64,7,239,193,1.0,0.916,0,0,1,4,3
28.41,170,920,4,1,0.018,0.838,0,1,1,6,4
105.57,642,1140,1,4,0.071,0.908,0,1,1,6,4
0.0,851,750,1,5,0.101,0.925,0,1,1,5,0
59.62,444,1446,5,1,0.008,0.915,0,1,2,3,2
99.17,192,1048,9,2,0.0,0.802,0,1,2,7,4
0.0,43,0,493,471,0.722,1.0,0,0,1,5,3
43.99,259,1414,8,2,0.108,0.938,0,1,1,6,3
1.37,109,9,108,434,0.84,0.952,0,0,1,5,3
76.46,380,739,2,2,0.02,0.837,0,1,1,7,4
0.74,33,0,158,241,0.733,0.965,0,0,1,2,3
80.19,745,1044,5,9,0.0,0.976,0,1,1,0,2
61.54,716,671,5,5,0.044,0.9,0,1,2,7,1
26.72,677,1859,5,4,0.091,0.781,0,1,1,4,4
79.91,288,535,4,1,0.01,0.947,0,1,1,1,4
80.58,610,714,1,4,0.011,0.931,0,1,2,4,4
64.58,567,1437,2,9,0.042,0.913,0,1,1,6,4
90.98,604,633,6,3,0.0,0.937,0,1,1,3,4
95.07,394,2451,8,7,0.0,0.881,0,1,1,7,4
2.49,14,1,429,203,0.945,0.963,0,0,1,7,3
88.28,724,37,2,6,0.0,0.938,0,1,1,6,4
37.85,198,1576,9,4,0.0,0.735,0,1,1,5,4
7.26,34,0,73,7,0.242,0.133,0,0,0,6,3
0.0,64,0,253,115,1.0,0.922,0,0,1,3,2
94.14,250,982,7,2,0.0,0.976,0,1,1,7,4
1.69,25,0,157,352,0.827,0.962,0,0,1,4,3
155.05,866,577,8,3,0.054,0.957,0,1,2,2,4
96.87,427,2272,2,4,0.013,0.766,0,1,1,6,3
5.88,0,0,28,17,0.408,0.347,0,0,1,6,0
11.72,0,411,3,9,0.0,0.797,0,1,1,1,4
111.4,304,1402,3,6,0.0,0.93,0,1,1,1,4
30.17,894,839,9,5,0.005,0.878,0,1,1,7,4
4.75,888,907,8,6,0.048,0.821,0,1,2,6,4
3.67,48,4,389,485,0.936,0.992,0,0,2,1,0
127.16,345,215,5,5,0.023,0.777,0,1,2,6,4
106.04,1276,65,1,8,0.024,0.884,0,1,1,5,0
71.24,36,1488,8,3,0.018,0.772,0,1,2,1,4
1.77,41,0,290,471,0.838,0.959,0,0,1,2,3
50.33,600,903,1,1,0.016,0.985,0,1,1,4,4
47.79,164,1571,9,6,0.0,0.848,0,1,1,1,4
31.96,0,1597,4,9,0.059,1.0,0,1,1,4,4
17.37,276,501,3,1,0.003,0.941,0,1,2,2,4
40.86,506,413,8,3,0.0,0.944,0,1,2,5,4
69.5,915,238,9,8,0.0,0.885,0,1,1,1,4
20.4,782,965,5,7,0.086,0.881,0,1,2,0,4
34.82,316,619,8,3,0.052,0.9,0,1,1,7,4
0.0,515,754,6,8,0.085,0.917,0,1,2,5,0
4.37,69,0,504,299,0.957,0.96,0,0,2,3,3
27.88,148,1439,9,8,0.0,0.921,0,1,1,7,4
4.63,24,3,80,7,0.816,0.337,0,0,2,0,0
1.87,41,0,378,236,0.982,1.0,0,0,1,7,2
40.26,1102,1411,3,3,0.1,0.909,0,1,1,4,4
1.47,13,3,106,148,0.768,0.955,0,0,1,0,2
0.0,22,0,395,440,0.933,0.972,0,0,1,5,3
46.32,1129,1376,3,7,0.0,0.813,0,1,1,4,4
1.06,31,0,503,152,0.737,0.991,0,0,2,6,3
20.3,150,473,1,6,0.084,0.854,0,1,1,7,3
17.29,186,398,11,7,0.014,0.68,4,0,2,0,4
115.06,590,918,9,9,0.0,0.702,0,1,1,4,0
112.43,0,270,8,1,0.031,0.785,0,1,1,1,4
1.91,31,0,381,212,0.953,0.926,0,0,1,7,3
26.59,143,134,4,7,0.0,1.0,0,1,2,5,0
52.72,138,1071,5,8,0.016,1.0,0,1,1,6,4
15.54,31,1302,8,4,0.013,0.781,0,1,1,5,4
36.55,688,901,1,2,0.039,0.911,0,1,1,3,4
0.0,58,4,255,253,0.977,0.916,0,0,1,1,3
74.03,453,539,9,5,0.0,0.987,0,1,2,6,4
55.11,983,1773,7,3,0.04,0.898,0,1,1,2,4
0.0,593,0,8,3,0.123,0.801,0,1,1,0,4
72.2,14,1452,7,8,0.119,0.768,0,1,1,5,4
4.73,33,2,25,16,0.663,0.15,0,0,1,2,0
26.49,825,781,4,6,0.014,0.731,0,1,1,7,4
26.11,88,616,1,2,0.0,0.826,0,1,2,7,4
0.0,39,0,27,12,0.52,0.0,0,0,1,5,0
66.24,418,1536,8,6,0.046,0.905,0,1,1,6,1
13.04,0,212,6,1,0.145,0.733,3,1,1,0,3
33.69,849,924,3,6,0.0,0.899,0,1,2,5,4
55.88,1049,425,7,8,0.062,0.86,0,1,1,3,4
93.06,589,924,3,6,0.026,1.0,0,1,1,5,4
13.58,265,683,6,2,0.0,0.997,0,1,1,0,4
33.85,213,1349,8,4,0.039,0.887,0,1,1,6,4
34.43,20,861,7,4,0.0,0.889,0,1,1,3,4
2.5,77,11,335,404,0.901,0.964,0,0,1,7,0
88.84,743,227,5,8,0.079,0.813,0,1,1,2,4
4.04,9,0,269,231,0.995,0.954,0,0,2,4,3
105.97,620,679,2,1,0.013,0.825,0,1,1,7,4
26.82,161,507,7,7,0.0,0.714,0,1,1,5,0
38.29,36,120,9,7,0.295,0.453,4,0,2,4,4
64.52,986,984,2,6,0.071,0.939,0,1,1,2,4
